s,t,o,h,l,c,v
ok,2024-01-02 06:00:00,0.34,0.34,0.34,0.34,100
ok,2024-01-02 08:30:00,0.34,0.34,0.34,0.34,100
ok,2024-01-02 09:30:00,0.35,0.35,0.34,0.34,31400
ok,2024-01-02 10:00:00,0.34,0.34,0.34,0.34,1350
ok,2024-01-02 10:30:00,0.34,0.34,0.34,0.34,1780
ok,2024-01-02 11:00:00,0.34,0.37,0.34,0.35,149428
ok,2024-01-02 11:30:00,0.36,0.42,0.35,0.36,235315
ok,2024-01-02 12:00:00,0.36,0.37,0.34,0.37,131680
ok,2024-01-02 12:30:00,0.36,0.37,0.34,0.36,8766
ok,2024-01-02 13:00:00,0.36,0.36,0.35,0.36,5302
ok,2024-01-02 13:30:00,0.36,0.36,0.36,0.36,11872
ok,2024-01-02 14:00:00,0.36,0.36,0.36,0.36,5061
ok,2024-01-02 14:30:00,0.36,0.36,0.34,0.34,50723
ok,2024-01-02 15:00:00,0.35,0.36,0.34,0.34,22542
ok,2024-01-02 15:30:00,0.34,0.36,0.34,0.36,3213
ok,2024-01-02 17:00:00,0.37,0.37,0.37,0.37,100
ok,2024-01-02 17:30:00,0.37,0.39,0.37,0.39,600
ok,2024-01-02 19:30:00,0.38,0.38,0.38,0.38,3802
ok,2024-01-03 09:30:00,0.35,0.36,0.33,0.33,35864
ok,2024-01-03 10:00:00,0.33,0.35,0.33,0.34,29993
ok,2024-01-03 10:30:00,0.35,0.35,0.34,0.34,6666
ok,2024-01-03 11:00:00,0.34,0.34,0.34,0.34,15863
ok,2024-01-03 11:30:00,0.34,0.34,0.32,0.33,82855
ok,2024-01-03 12:00:00,0.33,0.33,0.33,0.33,5326
ok,2024-01-03 12:30:00,0.33,0.33,0.32,0.32,15227
ok,2024-01-03 13:00:00,0.32,0.33,0.32,0.33,10881
ok,2024-01-03 13:30:00,0.35,0.35,0.34,0.34,700
ok,2024-01-03 14:00:00,0.34,0.34,0.33,0.34,35410
ok,2024-01-03 14:30:00,0.35,0.35,0.35,0.35,101
ok,2024-01-03 15:00:00,0.34,0.34,0.34,0.34,1976
ok,2024-01-03 15:30:00,0.34,0.34,0.33,0.34,14687
ok,2024-01-03 17:00:00,0.33,0.33,0.33,0.33,3512
ok,2024-01-04 08:00:00,0.34,0.34,0.34,0.34,446
ok,2024-01-04 08:30:00,0.34,0.34,0.34,0.34,163
ok,2024-01-04 09:00:00,0.34,0.34,0.34,0.34,1000
ok,2024-01-04 09:30:00,0.34,0.35,0.33,0.33,39207
ok,2024-01-04 10:00:00,0.33,0.33,0.33,0.33,3250
ok,2024-01-04 10:30:00,0.35,0.35,0.34,0.34,21800
ok,2024-01-04 11:00:00,0.34,0.36,0.34,0.35,60400
ok,2024-01-04 11:30:00,0.35,0.35,0.34,0.34,5800
ok,2024-01-04 12:00:00,0.35,0.35,0.35,0.35,4216
ok,2024-01-04 13:00:00,0.35,0.35,0.34,0.34,26191
ok,2024-01-04 13:30:00,0.34,0.34,0.33,0.34,77500
ok,2024-01-04 14:00:00,0.34,0.45,0.34,0.44,446563
ok,2024-01-04 14:30:00,0.44,0.46,0.39,0.39,1367850
ok,2024-01-04 15:00:00,0.39,0.4,0.36,0.37,773429
ok,2024-01-04 15:30:00,0.37,0.37,0.32,0.34,786448
ok,2024-01-04 16:00:00,0.35,0.38,0.34,0.38,53035
ok,2024-01-04 16:30:00,0.38,0.41,0.35,0.37,195454
ok,2024-01-04 17:00:00,0.4,0.4,0.37,0.39,47859
ok,2024-01-04 17:30:00,0.39,0.44,0.38,0.41,450520
ok,2024-01-04 18:00:00,0.41,0.44,0.39,0.41,178566
ok,2024-01-04 18:30:00,0.41,0.44,0.41,0.44,80175
ok,2024-01-04 19:00:00,0.43,0.47,0.41,0.45,263232
ok,2024-01-04 19:30:00,0.45,0.51,0.45,0.5,337049
ok,2024-01-05 04:00:00,0.48,0.54,0.42,0.44,1073975
ok,2024-01-05 04:30:00,0.44,0.45,0.41,0.45,250013
ok,2024-01-05 05:00:00,0.45,0.45,0.4,0.4,152821
ok,2024-01-05 05:30:00,0.4,0.4,0.37,0.38,123302
ok,2024-01-05 06:00:00,0.38,0.43,0.38,0.43,134016
ok,2024-01-05 06:30:00,0.43,0.43,0.39,0.39,90885
ok,2024-01-05 07:00:00,0.4,0.45,0.4,0.41,306479
ok,2024-01-05 07:30:00,0.41,0.51,0.41,0.43,1162564
ok,2024-01-05 08:00:00,0.41,0.54,0.34,0.35,2583141
ok,2024-01-05 08:30:00,0.35,0.36,0.35,0.35,787805
ok,2024-01-05 09:00:00,0.35,0.36,0.35,0.35,307182
ok,2024-01-05 09:30:00,0.36,0.36,0.28,0.29,1908206
ok,2024-01-05 10:00:00,0.29,0.31,0.29,0.3,723649
ok,2024-01-05 10:30:00,0.3,0.31,0.29,0.3,367080
ok,2024-01-05 11:00:00,0.3,0.31,0.28,0.28,544841
ok,2024-01-05 11:30:00,0.28,0.29,0.18,0.22,2599716
ok,2024-01-05 12:00:00,0.23,0.24,0.22,0.22,475477
ok,2024-01-05 12:30:00,0.23,0.23,0.2,0.21,347562
ok,2024-01-05 13:00:00,0.21,0.22,0.2,0.21,178435
ok,2024-01-05 13:30:00,0.21,0.25,0.21,0.25,289277
ok,2024-01-05 14:00:00,0.25,0.25,0.24,0.24,263983
ok,2024-01-05 14:30:00,0.24,0.24,0.24,0.24,33321
ok,2024-01-05 15:00:00,0.24,0.24,0.21,0.21,320417
ok,2024-01-05 15:30:00,0.22,0.25,0.21,0.23,310427
ok,2024-01-05 16:00:00,0.24,0.24,0.22,0.22,32515
ok,2024-01-05 16:30:00,0.23,0.23,0.22,0.22,14838
ok,2024-01-05 17:00:00,0.22,0.22,0.21,0.21,68798
ok,2024-01-05 17:30:00,0.21,0.22,0.21,0.22,1444
ok,2024-01-05 18:00:00,0.22,0.22,0.22,0.22,5600
ok,2024-01-05 18:30:00,0.22,0.22,0.22,0.22,2516
ok,2024-01-05 19:00:00,0.22,0.22,0.22,0.22,7026
ok,2024-01-05 19:30:00,0.22,0.24,0.21,0.24,42258
ok,2024-01-08 04:00:00,0.24,0.25,0.2,0.21,34408
ok,2024-01-08 04:30:00,0.21,0.21,0.2,0.21,17752
ok,2024-01-08 05:00:00,0.22,0.22,0.21,0.21,3488
ok,2024-01-08 05:30:00,0.21,0.21,0.21,0.21,1901
ok,2024-01-08 06:00:00,0.21,0.21,0.2,0.21,4944
ok,2024-01-08 06:30:00,0.2,0.21,0.19,0.2,16578
ok,2024-01-08 07:00:00,0.2,0.21,0.2,0.21,8345
ok,2024-01-08 07:30:00,0.21,0.21,0.2,0.21,4463
ok,2024-01-08 08:00:00,0.21,0.23,0.2,0.22,45483
ok,2024-01-08 08:30:00,0.21,0.22,0.21,0.21,20627
ok,2024-01-08 09:00:00,0.21,0.22,0.2,0.2,35994
ok,2024-01-08 09:30:00,0.21,0.22,0.18,0.2,564065
ok,2024-01-08 10:00:00,0.21,0.21,0.19,0.2,72855
ok,2024-01-08 10:30:00,0.2,0.2,0.2,0.2,47807
ok,2024-01-08 11:00:00,0.2,0.2,0.19,0.19,116492
ok,2024-01-08 11:30:00,0.19,0.19,0.19,0.19,38609
ok,2024-01-08 12:00:00,0.19,0.19,0.19,0.19,211049
ok,2024-01-08 12:30:00,0.19,0.19,0.19,0.19,52988
ok,2024-01-08 13:00:00,0.19,0.19,0.19,0.19,85006
ok,2024-01-08 13:30:00,0.19,0.19,0.19,0.19,64051
ok,2024-01-08 14:00:00,0.19,0.19,0.18,0.19,237715
ok,2024-01-08 14:30:00,0.19,0.19,0.19,0.19,25117
ok,2024-01-08 15:00:00,0.19,0.19,0.19,0.19,15428
ok,2024-01-08 15:30:00,0.19,0.19,0.19,0.19,105883
ok,2024-01-08 16:00:00,0.19,0.19,0.19,0.19,5030
ok,2024-01-08 16:30:00,0.19,0.19,0.18,0.19,27128
ok,2024-01-08 17:00:00,0.19,0.19,0.19,0.19,4355
ok,2024-01-08 18:00:00,0.19,0.19,0.19,0.19,4655
ok,2024-01-08 18:30:00,0.19,0.19,0.19,0.19,1070
ok,2024-01-08 19:00:00,0.19,0.19,0.19,0.19,1740
ok,2024-01-08 19:30:00,0.19,0.19,0.19,0.19,5704
ok,2024-01-09 04:00:00,0.19,0.19,0.19,0.19,1949
ok,2024-01-09 05:00:00,0.2,0.22,0.19,0.19,2328
ok,2024-01-09 06:30:00,0.19,0.19,0.19,0.19,300
ok,2024-01-09 07:00:00,0.19,0.19,0.19,0.19,1945
ok,2024-01-09 07:30:00,0.2,0.2,0.19,0.19,550
ok,2024-01-09 08:00:00,0.19,0.21,0.19,0.2,21613
ok,2024-01-09 08:30:00,0.2,0.2,0.2,0.2,9885
ok,2024-01-09 09:00:00,0.2,0.21,0.2,0.21,58162
ok,2024-01-09 09:30:00,0.21,0.21,0.19,0.2,139105
ok,2024-01-09 10:00:00,0.2,0.2,0.19,0.2,72660
ok,2024-01-09 10:30:00,0.2,0.2,0.19,0.2,51538
ok,2024-01-09 11:00:00,0.19,0.2,0.19,0.19,67375
ok,2024-01-09 11:30:00,0.19,0.2,0.19,0.19,32928
ok,2024-01-09 12:00:00,0.19,0.19,0.19,0.19,57225
ok,2024-01-09 12:30:00,0.19,0.2,0.19,0.19,81070
ok,2024-01-09 13:00:00,0.19,0.19,0.19,0.19,21740
ok,2024-01-09 13:30:00,0.19,0.19,0.19,0.19,77905
ok,2024-01-09 14:00:00,0.19,0.19,0.19,0.19,36084
ok,2024-01-09 14:30:00,0.19,0.19,0.18,0.19,61670
ok,2024-01-09 15:00:00,0.18,0.19,0.18,0.18,99468
ok,2024-01-09 15:30:00,0.18,0.19,0.18,0.19,45790
ok,2024-01-09 16:00:00,0.19,0.19,0.19,0.19,3700
ok,2024-01-09 16:30:00,0.19,0.19,0.18,0.18,5820
ok,2024-01-09 17:00:00,0.18,0.18,0.18,0.18,4495
ok,2024-01-09 17:30:00,0.18,0.18,0.18,0.18,167
ok,2024-01-09 18:00:00,0.19,0.19,0.19,0.19,2050
ok,2024-01-09 18:30:00,0.19,0.19,0.19,0.19,6351
ok,2024-01-10 04:00:00,0.19,0.21,0.19,0.21,400
ok,2024-01-10 04:30:00,0.18,0.18,0.18,0.18,405
ok,2024-01-10 05:00:00,0.19,0.2,0.19,0.2,2945
ok,2024-01-10 05:30:00,0.18,0.19,0.18,0.19,945
ok,2024-01-10 06:00:00,0.19,0.19,0.19,0.19,350
ok,2024-01-10 06:30:00,0.19,0.19,0.18,0.18,24723
ok,2024-01-10 07:00:00,0.18,0.19,0.18,0.19,1200
ok,2024-01-10 07:30:00,0.19,0.19,0.19,0.19,1000
ok,2024-01-10 08:00:00,0.19,0.19,0.18,0.19,4984
ok,2024-01-10 08:30:00,0.19,0.19,0.18,0.19,2334
ok,2024-01-10 09:00:00,0.18,0.18,0.18,0.18,5829
ok,2024-01-10 09:30:00,0.18,0.19,0.18,0.18,194685
ok,2024-01-10 10:00:00,0.18,0.18,0.18,0.18,167776
ok,2024-01-10 10:30:00,0.18,0.18,0.18,0.18,61729
ok,2024-01-10 11:00:00,0.18,0.18,0.18,0.18,64435
ok,2024-01-10 11:30:00,0.18,0.18,0.18,0.18,25383
ok,2024-01-10 12:00:00,0.18,0.18,0.18,0.18,10742
ok,2024-01-10 12:30:00,0.18,0.18,0.17,0.17,59619
ok,2024-01-10 13:00:00,0.17,0.18,0.17,0.18,40975
ok,2024-01-10 13:30:00,0.17,0.18,0.17,0.18,82961
ok,2024-01-10 14:00:00,0.17,0.18,0.17,0.17,161457
ok,2024-01-10 14:30:00,0.18,0.18,0.17,0.17,126762
ok,2024-01-10 15:00:00,0.17,0.18,0.17,0.18,206921
ok,2024-01-10 15:30:00,0.18,0.19,0.17,0.18,15889
ok,2024-01-10 16:00:00,0.18,0.18,0.18,0.18,600
ok,2024-01-10 16:30:00,0.18,0.18,0.18,0.18,10285
ok,2024-01-10 17:00:00,0.18,0.18,0.18,0.18,900
ok,2024-01-10 17:30:00,0.18,0.18,0.18,0.18,1334
ok,2024-01-10 18:00:00,0.18,0.18,0.18,0.18,422
ok,2024-01-10 19:30:00,0.18,0.18,0.17,0.17,5058
ok,2024-01-11 04:00:00,0.17,0.18,0.17,0.18,1034
ok,2024-01-11 06:00:00,0.18,0.19,0.17,0.19,9831
ok,2024-01-11 06:30:00,0.18,0.18,0.17,0.17,443
ok,2024-01-11 07:00:00,0.18,0.18,0.18,0.18,2388
ok,2024-01-11 08:00:00,0.17,0.18,0.17,0.18,5412
ok,2024-01-11 08:30:00,0.18,0.18,0.18,0.18,20891
ok,2024-01-11 09:00:00,0.18,0.18,0.17,0.18,2000
ok,2024-01-11 09:30:00,0.18,0.18,0.17,0.17,45264
ok,2024-01-11 10:00:00,0.17,0.17,0.17,0.17,66284
ok,2024-01-11 10:30:00,0.17,0.17,0.17,0.17,59876
ok,2024-01-11 11:00:00,0.17,0.17,0.17,0.17,25914
ok,2024-01-11 11:30:00,0.17,0.17,0.17,0.17,2858
ok,2024-01-11 12:00:00,0.17,0.17,0.17,0.17,56476
ok,2024-01-11 12:30:00,0.17,0.17,0.17,0.17,27827
ok,2024-01-11 13:00:00,0.17,0.17,0.17,0.17,65285
ok,2024-01-11 13:30:00,0.17,0.17,0.17,0.17,7282
ok,2024-01-11 14:00:00,0.17,0.17,0.17,0.17,2321
ok,2024-01-11 14:30:00,0.17,0.17,0.17,0.17,3654
ok,2024-01-11 15:00:00,0.17,0.17,0.17,0.17,15418
ok,2024-01-11 15:30:00,0.17,0.18,0.17,0.17,22116
ok,2024-01-11 16:00:00,0.17,0.17,0.17,0.17,5126
ok,2024-01-11 17:00:00,0.18,0.18,0.17,0.18,38977
ok,2024-01-11 19:00:00,0.18,0.18,0.18,0.18,100
ok,2024-01-12 04:00:00,0.17,0.18,0.17,0.18,1518
ok,2024-01-12 04:30:00,0.17,0.17,0.16,0.17,17040
ok,2024-01-12 05:00:00,0.17,0.17,0.17,0.17,519
ok,2024-01-12 05:30:00,0.17,0.17,0.16,0.17,1950
ok,2024-01-12 06:00:00,0.17,0.17,0.16,0.16,8694
ok,2024-01-12 06:30:00,0.17,0.17,0.17,0.17,114
ok,2024-01-12 07:00:00,0.16,0.17,0.16,0.17,386
ok,2024-01-12 07:30:00,0.17,0.17,0.17,0.17,1750
ok,2024-01-12 08:00:00,0.17,0.17,0.17,0.17,3266
ok,2024-01-12 08:30:00,0.17,0.17,0.16,0.17,29869
ok,2024-01-12 09:00:00,0.17,0.18,0.17,0.17,17332
ok,2024-01-12 09:30:00,0.17,0.17,0.17,0.17,37297
ok,2024-01-12 10:00:00,0.17,0.17,0.17,0.17,7769
ok,2024-01-12 10:30:00,0.17,0.17,0.17,0.17,46209
ok,2024-01-12 11:00:00,0.17,0.17,0.17,0.17,10566
ok,2024-01-12 11:30:00,0.17,0.17,0.17,0.17,6526
ok,2024-01-12 12:00:00,0.17,0.17,0.17,0.17,77000
ok,2024-01-12 12:30:00,0.17,0.17,0.17,0.17,39460
ok,2024-01-12 13:00:00,0.17,0.17,0.17,0.17,65403
ok,2024-01-12 13:30:00,0.17,0.17,0.17,0.17,6499
ok,2024-01-12 14:00:00,0.17,0.17,0.17,0.17,16069
ok,2024-01-12 14:30:00,0.17,0.17,0.17,0.17,18549
ok,2024-01-12 15:00:00,0.17,0.17,0.17,0.17,17762
ok,2024-01-12 15:30:00,0.17,0.18,0.17,0.17,67867
ok,2024-01-12 16:30:00,0.17,0.17,0.17,0.17,1000
ok,2024-01-12 17:00:00,0.18,0.18,0.17,0.17,2151
ok,2024-01-12 17:30:00,0.17,0.17,0.17,0.17,9588
ok,2024-01-12 18:00:00,0.17,0.17,0.17,0.17,805
ok,2024-01-12 18:30:00,0.17,0.17,0.17,0.17,27045
ok,2024-01-16 04:00:00,0.17,0.17,0.17,0.17,1202
ok,2024-01-16 05:30:00,0.16,0.16,0.16,0.16,281
ok,2024-01-16 07:00:00,0.17,0.17,0.17,0.17,2195
ok,2024-01-16 07:30:00,0.17,0.17,0.17,0.17,500
ok,2024-01-16 08:00:00,0.17,0.17,0.17,0.17,701
ok,2024-01-16 08:30:00,0.17,0.17,0.17,0.17,150
ok,2024-01-16 09:00:00,0.17,0.17,0.16,0.17,16966
ok,2024-01-16 09:30:00,0.17,0.17,0.17,0.17,16442
ok,2024-01-16 10:00:00,0.17,0.17,0.17,0.17,47159
ok,2024-01-16 10:30:00,0.17,0.17,0.16,0.16,64166
ok,2024-01-16 11:00:00,0.16,0.17,0.16,0.17,28369
ok,2024-01-16 11:30:00,0.17,0.17,0.17,0.17,30851
ok,2024-01-16 12:00:00,0.17,0.17,0.16,0.17,53716
ok,2024-01-16 12:30:00,0.17,0.17,0.16,0.16,16998
ok,2024-01-16 13:00:00,0.16,0.17,0.16,0.17,13802
ok,2024-01-16 13:30:00,0.17,0.17,0.16,0.17,25000
ok,2024-01-16 14:00:00,0.16,0.17,0.16,0.17,1978
ok,2024-01-16 14:30:00,0.16,0.17,0.16,0.17,25742
ok,2024-01-16 15:00:00,0.17,0.17,0.16,0.17,44114
ok,2024-01-16 15:30:00,0.17,0.17,0.17,0.17,4064
ok,2024-01-16 16:00:00,0.17,0.17,0.16,0.17,5220
ok,2024-01-16 16:30:00,0.17,0.17,0.17,0.17,1000
ok,2024-01-16 17:00:00,0.16,0.16,0.16,0.16,11316
ok,2024-01-16 17:30:00,0.16,0.17,0.16,0.17,9975
ok,2024-01-16 19:30:00,0.18,0.18,0.18,0.18,3000
ok,2024-01-17 04:00:00,0.16,0.16,0.16,0.16,519
ok,2024-01-17 05:30:00,0.18,0.18,0.18,0.18,501
ok,2024-01-17 06:00:00,0.16,0.17,0.16,0.17,20100
ok,2024-01-17 06:30:00,0.17,0.17,0.16,0.17,465
ok,2024-01-17 07:00:00,0.17,0.17,0.17,0.17,1235
ok,2024-01-17 08:00:00,0.16,0.17,0.16,0.17,1121
ok,2024-01-17 08:30:00,0.17,0.17,0.17,0.17,5411
ok,2024-01-17 09:00:00,0.17,0.17,0.16,0.16,10250
ok,2024-01-17 09:30:00,0.17,0.17,0.16,0.17,31079
ok,2024-01-17 10:00:00,0.17,0.17,0.17,0.17,30349
ok,2024-01-17 10:30:00,0.17,0.17,0.16,0.17,6083
ok,2024-01-17 11:00:00,0.17,0.17,0.16,0.16,27661
ok,2024-01-17 11:30:00,0.16,0.16,0.16,0.16,19921
ok,2024-01-17 12:00:00,0.16,0.16,0.16,0.16,51677
ok,2024-01-17 12:30:00,0.16,0.16,0.16,0.16,27335
ok,2024-01-17 13:00:00,0.16,0.16,0.16,0.16,37091
ok,2024-01-17 13:30:00,0.16,0.16,0.16,0.16,24403
ok,2024-01-17 14:00:00,0.16,0.16,0.16,0.16,123958
ok,2024-01-17 14:30:00,0.16,0.16,0.15,0.16,75768
ok,2024-01-17 15:00:00,0.16,0.16,0.16,0.16,13085
ok,2024-01-17 15:30:00,0.16,0.16,0.16,0.16,2713
ok,2024-01-17 16:00:00,0.16,0.16,0.16,0.16,2670
ok,2024-01-17 16:30:00,0.16,0.16,0.16,0.16,4650
ok,2024-01-17 17:00:00,0.16,0.16,0.16,0.16,3144
ok,2024-01-17 18:00:00,0.16,0.16,0.16,0.16,5200
ok,2024-01-17 19:30:00,0.16,0.16,0.16,0.16,209
ok,2024-01-18 04:00:00,0.15,0.15,0.15,0.15,2714
ok,2024-01-18 06:00:00,0.15,0.16,0.15,0.16,12043
ok,2024-01-18 06:30:00,0.17,0.17,0.16,0.16,4862
ok,2024-01-18 07:00:00,0.16,0.17,0.16,0.16,10749
ok,2024-01-18 07:30:00,0.16,0.16,0.16,0.16,8972
ok,2024-01-18 08:00:00,0.16,0.17,0.16,0.16,4388
ok,2024-01-18 08:30:00,0.17,0.17,0.16,0.16,19950
ok,2024-01-18 09:00:00,0.16,0.17,0.16,0.16,2218
ok,2024-01-18 09:30:00,0.17,0.17,0.16,0.16,45647
ok,2024-01-18 10:00:00,0.16,0.16,0.16,0.16,2503
ok,2024-01-18 10:30:00,0.16,0.16,0.15,0.16,34276
ok,2024-01-18 11:00:00,0.16,0.16,0.16,0.16,32722
ok,2024-01-18 11:30:00,0.16,0.16,0.16,0.16,27715
ok,2024-01-18 12:00:00,0.16,0.16,0.15,0.16,3041
ok,2024-01-18 12:30:00,0.16,0.16,0.16,0.16,1000
ok,2024-01-18 13:00:00,0.16,0.16,0.15,0.15,11026
ok,2024-01-18 13:30:00,0.16,0.16,0.15,0.15,20222
ok,2024-01-18 14:00:00,0.15,0.16,0.15,0.16,2515
ok,2024-01-18 14:30:00,0.16,0.16,0.15,0.15,8200
ok,2024-01-18 15:00:00,0.16,0.16,0.16,0.16,2309
ok,2024-01-18 15:30:00,0.16,0.16,0.16,0.16,10461
ok,2024-01-18 16:30:00,0.16,0.16,0.16,0.16,698
ok,2024-01-18 17:00:00,0.16,0.16,0.16,0.16,2798
ok,2024-01-18 17:30:00,0.16,0.16,0.16,0.16,2500
ok,2024-01-18 19:00:00,0.16,0.16,0.16,0.16,1055
ok,2024-01-19 04:00:00,0.16,0.16,0.15,0.15,21094
ok,2024-01-19 08:00:00,0.16,0.16,0.15,0.16,4100
ok,2024-01-19 09:30:00,0.16,0.16,0.15,0.15,37550
ok,2024-01-19 10:00:00,0.15,0.15,0.15,0.15,17972
ok,2024-01-19 10:30:00,0.15,0.15,0.15,0.15,7920
ok,2024-01-19 11:00:00,0.15,0.15,0.15,0.15,14517
ok,2024-01-19 11:30:00,0.15,0.15,0.15,0.15,56435
ok,2024-01-19 12:00:00,0.15,0.15,0.15,0.15,26264
ok,2024-01-19 12:30:00,0.15,0.15,0.14,0.14,31293
ok,2024-01-19 13:00:00,0.14,0.15,0.14,0.15,45242
ok,2024-01-19 13:30:00,0.15,0.15,0.14,0.15,30838
ok,2024-01-19 14:00:00,0.14,0.15,0.14,0.15,27467
ok,2024-01-19 14:30:00,0.15,0.15,0.14,0.15,45661
ok,2024-01-19 15:00:00,0.15,0.15,0.15,0.15,1500
ok,2024-01-19 15:30:00,0.15,0.15,0.14,0.15,4561
ok,2024-01-19 16:30:00,0.15,0.15,0.14,0.14,2400
ok,2024-01-19 17:00:00,0.15,0.15,0.15,0.15,14100
ok,2024-01-19 19:00:00,0.15,0.15,0.15,0.15,200
ok,2024-01-19 19:30:00,0.15,0.15,0.14,0.14,21474
ok,2024-01-22 04:00:00,0.15,0.15,0.15,0.15,2000
ok,2024-01-22 04:30:00,0.15,0.15,0.15,0.15,529
ok,2024-01-22 06:00:00,0.15,0.15,0.15,0.15,1029
ok,2024-01-22 06:30:00,0.15,0.15,0.14,0.14,1626
ok,2024-01-22 07:30:00,0.15,0.15,0.15,0.15,106
ok,2024-01-22 08:00:00,0.15,0.15,0.15,0.15,300
ok,2024-01-22 08:30:00,0.15,0.15,0.15,0.15,5350
ok,2024-01-22 09:00:00,0.15,0.15,0.15,0.15,200
ok,2024-01-22 09:30:00,0.15,0.16,0.15,0.16,45859
ok,2024-01-22 10:00:00,0.16,0.16,0.15,0.15,7672
ok,2024-01-22 10:30:00,0.15,0.15,0.15,0.15,18722
ok,2024-01-22 11:00:00,0.16,0.16,0.15,0.16,12114
ok,2024-01-22 11:30:00,0.16,0.16,0.15,0.15,102625
ok,2024-01-22 12:00:00,0.15,0.15,0.15,0.15,6500
ok,2024-01-22 12:30:00,0.15,0.16,0.15,0.16,19660
ok,2024-01-22 13:00:00,0.16,0.16,0.16,0.16,13626
ok,2024-01-22 13:30:00,0.16,0.16,0.16,0.16,5800
ok,2024-01-22 14:00:00,0.16,0.16,0.16,0.16,35850
ok,2024-01-22 14:30:00,0.16,0.16,0.16,0.16,25414
ok,2024-01-22 15:00:00,0.15,0.16,0.15,0.16,9228
ok,2024-01-22 15:30:00,0.16,0.16,0.15,0.16,63928
ok,2024-01-22 16:00:00,0.16,0.16,0.15,0.16,16270
ok,2024-01-22 16:30:00,0.16,0.16,0.16,0.16,1960
ok,2024-01-22 17:00:00,0.16,0.16,0.15,0.15,930
ok,2024-01-22 17:30:00,0.16,0.16,0.16,0.16,500
ok,2024-01-22 18:00:00,0.16,0.16,0.16,0.16,715
ok,2024-01-23 08:00:00,0.16,0.16,0.16,0.16,14003
ok,2024-01-23 08:30:00,0.16,0.16,0.16,0.16,700
ok,2024-01-23 09:30:00,0.16,0.18,0.16,0.17,149320
ok,2024-01-23 10:00:00,0.17,0.17,0.16,0.16,30059
ok,2024-01-23 10:30:00,0.16,0.16,0.16,0.16,4028
ok,2024-01-23 11:00:00,0.16,0.17,0.16,0.17,14988
ok,2024-01-23 11:30:00,0.16,0.16,0.16,0.16,2552
ok,2024-01-23 12:00:00,0.16,0.16,0.16,0.16,55446
ok,2024-01-23 12:30:00,0.16,0.16,0.16,0.16,496
ok,2024-01-23 13:00:00,0.16,0.16,0.16,0.16,23301
ok,2024-01-23 13:30:00,0.16,0.16,0.16,0.16,255853
ok,2024-01-23 14:00:00,0.16,0.16,0.16,0.16,20676
ok,2024-01-23 14:30:00,0.16,0.17,0.16,0.17,25827
ok,2024-01-23 15:00:00,0.17,0.17,0.16,0.16,35327
ok,2024-01-23 15:30:00,0.16,0.16,0.16,0.16,3299
ok,2024-01-23 16:00:00,0.16,0.17,0.16,0.17,8833
ok,2024-01-23 17:30:00,0.16,0.16,0.16,0.16,417
ok,2024-01-23 18:00:00,0.17,0.17,0.17,0.17,1421
ok,2024-01-23 19:30:00,0.16,0.16,0.16,0.16,1000
ok,2024-01-24 04:00:00,0.16,0.17,0.16,0.17,1249
ok,2024-01-24 08:00:00,0.16,0.17,0.16,0.16,9115
ok,2024-01-24 08:30:00,0.16,0.17,0.16,0.17,2575
ok,2024-01-24 09:00:00,0.16,0.17,0.16,0.17,1500
ok,2024-01-24 09:30:00,0.17,0.17,0.16,0.16,36935
ok,2024-01-24 10:00:00,0.16,0.16,0.16,0.16,3211
ok,2024-01-24 10:30:00,0.16,0.16,0.16,0.16,19449
ok,2024-01-24 11:00:00,0.16,0.16,0.15,0.16,15560
ok,2024-01-24 11:30:00,0.15,0.16,0.15,0.15,1250
ok,2024-01-24 12:00:00,0.16,0.16,0.15,0.16,6478
ok,2024-01-24 12:30:00,0.16,0.16,0.16,0.16,3079
ok,2024-01-24 13:00:00,0.16,0.16,0.15,0.16,5400
ok,2024-01-24 13:30:00,0.15,0.16,0.15,0.16,1384
ok,2024-01-24 14:00:00,0.15,0.16,0.15,0.16,10819
ok,2024-01-24 14:30:00,0.15,0.16,0.15,0.16,5245
ok,2024-01-24 15:00:00,0.15,0.15,0.15,0.15,508
ok,2024-01-24 15:30:00,0.16,0.16,0.15,0.15,4385
ok,2024-01-24 16:00:00,0.15,0.16,0.15,0.16,2500
ok,2024-01-24 16:30:00,0.15,0.15,0.15,0.15,400
ok,2024-01-24 19:30:00,0.16,0.16,0.16,0.16,100
ok,2024-01-25 07:00:00,0.16,0.16,0.16,0.16,100
ok,2024-01-25 07:30:00,0.16,0.16,0.16,0.16,1100
ok,2024-01-25 08:00:00,0.16,0.16,0.16,0.16,1000
ok,2024-01-25 09:00:00,0.16,0.16,0.16,0.16,201
ok,2024-01-25 09:30:00,0.15,0.17,0.15,0.17,24661
ok,2024-01-25 10:00:00,0.15,0.17,0.15,0.16,28679
ok,2024-01-25 10:30:00,0.16,0.16,0.16,0.16,410
ok,2024-01-25 11:00:00,0.16,0.16,0.16,0.16,8130
ok,2024-01-25 11:30:00,0.16,0.16,0.16,0.16,3850
ok,2024-01-25 12:00:00,0.16,0.16,0.16,0.16,8884
ok,2024-01-25 12:30:00,0.16,0.17,0.16,0.16,21619
ok,2024-01-25 13:00:00,0.17,0.17,0.16,0.16,1300
ok,2024-01-25 13:30:00,0.16,0.2,0.16,0.19,875040
