s,t,o,h,l,c,v
ok,2024-01-02 09:30:00,1.28,1.28,1.28,1.28,532
ok,2024-01-02 10:00:00,1.29,1.3,1.29,1.3,2731
ok,2024-01-02 10:30:00,1.32,1.34,1.3,1.3,1545
ok,2024-01-02 12:00:00,1.32,1.34,1.32,1.34,1580
ok,2024-01-02 12:30:00,1.34,1.4,1.34,1.4,5500
ok,2024-01-02 13:00:00,1.36,1.4,1.36,1.36,628
ok,2024-01-02 13:30:00,1.39,1.39,1.39,1.39,550
ok,2024-01-02 14:00:00,1.4,1.4,1.4,1.4,746
ok,2024-01-02 15:00:00,1.39,1.39,1.39,1.39,188
ok,2024-01-02 15:30:00,1.39,1.53,1.39,1.53,4772
ok,2024-01-03 09:00:00,1.5,1.5,1.5,1.5,454
ok,2024-01-03 09:30:00,1.54,1.54,1.41,1.48,2827
ok,2024-01-03 10:30:00,1.47,1.47,1.47,1.47,1000
ok,2024-01-03 11:00:00,1.47,1.5,1.47,1.5,1216
ok,2024-01-03 11:30:00,1.54,1.54,1.46,1.53,2887
ok,2024-01-03 12:00:00,1.49,1.54,1.47,1.47,2073
ok,2024-01-03 12:30:00,1.52,1.52,1.47,1.5,2227
ok,2024-01-03 13:00:00,1.5,1.53,1.5,1.53,1509
ok,2024-01-03 13:30:00,1.53,1.54,1.53,1.54,1376
ok,2024-01-03 14:00:00,1.54,1.54,1.5,1.5,1073
ok,2024-01-03 14:30:00,1.54,1.54,1.54,1.54,160
ok,2024-01-03 15:00:00,1.54,1.6,1.46,1.6,3241
ok,2024-01-03 15:30:00,1.59,1.65,1.59,1.65,486
ok,2024-01-03 16:00:00,1.74,1.82,1.74,1.82,1412
ok,2024-01-03 16:30:00,1.91,2.1,1.91,2.0,10960
ok,2024-01-03 17:00:00,1.97,2.01,1.52,1.74,18590
ok,2024-01-03 17:30:00,2.0,2.0,1.8,1.86,600
ok,2024-01-03 18:00:00,1.79,1.79,1.79,1.79,208
ok,2024-01-03 18:30:00,1.89,1.99,1.89,1.99,600
ok,2024-01-03 19:00:00,1.93,2.0,1.86,1.86,2414
ok,2024-01-03 19:30:00,1.95,1.95,1.85,1.85,1225
ok,2024-01-04 08:00:00,1.78,1.78,1.78,1.78,245
ok,2024-01-04 08:30:00,1.83,1.84,1.83,1.84,300
ok,2024-01-04 09:00:00,1.83,1.83,1.83,1.83,260
ok,2024-01-04 09:30:00,1.75,1.76,1.73,1.74,8120
ok,2024-01-04 10:00:00,1.74,1.74,1.73,1.73,871
ok,2024-01-04 10:30:00,1.73,1.75,1.73,1.75,1869
ok,2024-01-04 11:00:00,1.77,1.77,1.7,1.7,7533
ok,2024-01-04 11:30:00,1.69,1.74,1.69,1.74,5413
ok,2024-01-04 12:00:00,1.75,1.75,1.75,1.75,1311
ok,2024-01-04 12:30:00,1.74,1.74,1.73,1.74,3849
ok,2024-01-04 13:00:00,1.74,1.75,1.74,1.75,600
ok,2024-01-04 14:00:00,1.75,1.75,1.75,1.75,537
ok,2024-01-04 14:30:00,1.72,1.72,1.7,1.7,200
ok,2024-01-04 15:00:00,1.72,1.73,1.69,1.73,3888
ok,2024-01-04 15:30:00,1.72,1.72,1.72,1.72,434
ok,2024-01-05 09:30:00,1.74,1.74,1.63,1.66,2899
ok,2024-01-05 10:00:00,1.66,1.74,1.61,1.74,5443
ok,2024-01-05 10:30:00,1.68,1.74,1.68,1.72,3989
ok,2024-01-05 11:00:00,1.66,1.7,1.66,1.7,1400
ok,2024-01-05 11:30:00,1.69,1.69,1.69,1.69,1193
ok,2024-01-05 12:00:00,1.68,1.68,1.68,1.68,500
ok,2024-01-05 12:30:00,1.68,1.68,1.68,1.68,100
ok,2024-01-05 13:00:00,1.64,1.65,1.62,1.64,2052
ok,2024-01-05 13:30:00,1.65,1.71,1.65,1.71,1300
ok,2024-01-05 15:30:00,1.67,1.75,1.67,1.75,8700
ok,2024-01-05 19:30:00,1.53,1.69,1.53,1.69,1053
ok,2024-01-08 09:30:00,1.75,1.75,1.61,1.67,1326
ok,2024-01-08 10:00:00,1.69,1.69,1.64,1.65,2783
ok,2024-01-08 10:30:00,1.7,1.7,1.69,1.69,548
ok,2024-01-08 11:00:00,1.65,1.65,1.65,1.65,100
ok,2024-01-08 12:30:00,1.66,1.66,1.66,1.66,300
ok,2024-01-08 13:30:00,1.65,1.65,1.65,1.65,122
ok,2024-01-08 14:30:00,1.61,1.64,1.61,1.64,430
ok,2024-01-08 15:00:00,1.64,1.64,1.64,1.64,266
ok,2024-01-08 15:30:00,1.66,1.68,1.64,1.65,1258
ok,2024-01-08 19:30:00,1.64,1.64,1.64,1.64,293
ok,2024-01-09 09:30:00,1.61,1.63,1.6,1.6,607
ok,2024-01-09 11:00:00,1.59,1.59,1.59,1.59,200
ok,2024-01-09 11:30:00,1.58,1.58,1.52,1.52,801
ok,2024-01-09 12:00:00,1.58,1.58,1.58,1.58,100
ok,2024-01-09 12:30:00,1.52,1.56,1.52,1.56,1864
ok,2024-01-09 13:00:00,1.55,1.56,1.55,1.56,1354
ok,2024-01-09 14:00:00,1.55,1.55,1.55,1.55,1657
ok,2024-01-09 15:30:00,1.55,1.57,1.54,1.54,1551
ok,2024-01-10 09:30:00,1.64,1.64,1.55,1.55,630
ok,2024-01-10 10:00:00,1.63,1.63,1.61,1.62,2000
ok,2024-01-10 10:30:00,1.6,1.61,1.6,1.61,400
ok,2024-01-10 11:30:00,1.61,1.61,1.58,1.58,900
ok,2024-01-10 13:00:00,1.6,1.61,1.6,1.61,800
ok,2024-01-10 13:30:00,1.61,1.64,1.61,1.64,1808
ok,2024-01-10 14:00:00,1.61,1.65,1.61,1.64,2862
ok,2024-01-10 14:30:00,1.65,1.68,1.65,1.68,786
ok,2024-01-10 15:00:00,1.68,1.74,1.68,1.74,1175
ok,2024-01-10 15:30:00,1.66,1.7,1.66,1.7,916
ok,2024-01-11 09:30:00,1.7,1.72,1.68,1.72,4005
ok,2024-01-11 10:30:00,1.75,1.75,1.7,1.72,1830
ok,2024-01-11 12:00:00,1.71,1.72,1.7,1.7,10000
ok,2024-01-11 12:30:00,1.72,1.73,1.72,1.72,850
ok,2024-01-11 13:00:00,1.69,1.69,1.69,1.69,787
ok,2024-01-11 13:30:00,1.71,1.71,1.71,1.71,225
ok,2024-01-11 14:00:00,1.7,1.7,1.7,1.7,500
ok,2024-01-11 14:30:00,1.7,1.71,1.7,1.7,1370
ok,2024-01-12 09:30:00,1.67,1.67,1.67,1.67,647
ok,2024-01-12 10:00:00,1.58,1.61,1.58,1.61,370
ok,2024-01-12 11:00:00,1.6,1.6,1.6,1.6,100
ok,2024-01-12 11:30:00,1.64,1.64,1.64,1.64,100
ok,2024-01-12 12:00:00,1.63,1.63,1.63,1.63,275
ok,2024-01-12 12:30:00,1.61,1.62,1.61,1.62,1045
ok,2024-01-12 13:00:00,1.62,1.72,1.62,1.71,3872
ok,2024-01-12 13:30:00,1.68,1.72,1.68,1.72,500
ok,2024-01-12 14:30:00,1.71,1.74,1.71,1.74,700
ok,2024-01-16 08:00:00,1.57,1.57,1.57,1.57,432
ok,2024-01-16 11:00:00,1.7,1.7,1.7,1.7,330
ok,2024-01-16 12:00:00,1.64,1.67,1.64,1.67,1128
ok,2024-01-16 13:00:00,1.66,1.66,1.66,1.66,110
ok,2024-01-16 13:30:00,1.64,1.64,1.64,1.64,100
ok,2024-01-16 14:00:00,1.62,1.62,1.62,1.62,300
ok,2024-01-16 14:30:00,1.67,1.67,1.65,1.65,702
ok,2024-01-16 15:30:00,1.62,1.62,1.62,1.62,115
ok,2024-01-17 08:00:00,1.62,1.62,1.62,1.62,200
ok,2024-01-17 09:00:00,1.68,1.68,1.68,1.68,297
ok,2024-01-17 09:30:00,1.67,1.67,1.56,1.57,5088
ok,2024-01-17 10:00:00,1.62,1.62,1.62,1.62,250
ok,2024-01-17 13:00:00,1.6,1.6,1.6,1.6,310
ok,2024-01-17 13:30:00,1.59,1.59,1.59,1.59,100
ok,2024-01-17 14:00:00,1.56,1.56,1.56,1.56,337
ok,2024-01-17 14:30:00,1.52,1.52,1.52,1.52,100
ok,2024-01-17 15:00:00,1.54,1.57,1.54,1.57,2071
ok,2024-01-17 15:30:00,1.66,1.66,1.64,1.65,600
ok,2024-01-18 10:30:00,1.55,1.56,1.55,1.56,300
ok,2024-01-18 11:00:00,1.55,1.55,1.55,1.55,760
ok,2024-01-18 12:00:00,1.56,1.56,1.54,1.54,648
ok,2024-01-18 12:30:00,1.52,1.52,1.52,1.52,200
ok,2024-01-18 13:00:00,1.52,1.52,1.52,1.52,100
ok,2024-01-18 14:00:00,1.57,1.62,1.57,1.62,1398
ok,2024-01-18 14:30:00,1.62,1.62,1.62,1.62,100
ok,2024-01-18 15:30:00,1.63,1.63,1.63,1.63,100
ok,2024-01-18 17:00:00,1.5,1.5,1.5,1.5,401
ok,2024-01-18 17:30:00,1.5,1.5,1.5,1.5,100
ok,2024-01-18 18:00:00,1.5,1.52,1.5,1.52,939
ok,2024-01-19 09:30:00,1.53,1.53,1.5,1.5,820
ok,2024-01-19 10:00:00,1.54,1.54,1.48,1.48,428
ok,2024-01-19 11:00:00,1.53,1.54,1.52,1.52,2184
ok,2024-01-19 11:30:00,1.5,1.51,1.49,1.49,600
ok,2024-01-19 13:00:00,1.52,1.52,1.51,1.51,341
ok,2024-01-19 15:00:00,1.53,1.53,1.52,1.52,954
ok,2024-01-19 15:30:00,1.5,1.5,1.49,1.49,2205
ok,2024-01-22 08:00:00,1.48,1.48,1.48,1.48,200
ok,2024-01-22 09:30:00,1.45,1.52,1.45,1.52,612
ok,2024-01-22 10:00:00,1.5,1.5,1.5,1.5,123
ok,2024-01-22 12:00:00,1.56,1.56,1.56,1.56,200
ok,2024-01-22 12:30:00,1.53,1.53,1.46,1.5,600
ok,2024-01-22 13:00:00,1.44,1.44,1.44,1.44,200
ok,2024-01-22 13:30:00,1.46,1.46,1.46,1.46,124
ok,2024-01-22 14:00:00,1.44,1.44,1.43,1.43,541
ok,2024-01-22 15:00:00,1.43,1.43,1.43,1.43,810
ok,2024-01-22 15:30:00,1.42,1.42,1.4,1.4,723
ok,2024-01-23 09:00:00,1.39,1.39,1.39,1.39,100
ok,2024-01-23 09:30:00,1.44,1.44,1.4,1.4,592
ok,2024-01-23 10:30:00,1.42,1.42,1.42,1.42,100
ok,2024-01-23 11:00:00,1.4,1.4,1.35,1.35,800
ok,2024-01-23 11:30:00,1.4,1.4,1.4,1.4,300
ok,2024-01-23 13:30:00,1.39,1.39,1.38,1.38,250
ok,2024-01-23 14:00:00,1.4,1.4,1.4,1.4,123
ok,2024-01-23 15:00:00,1.41,1.41,1.41,1.41,300
ok,2024-01-24 09:30:00,1.4,1.4,1.39,1.39,1105
ok,2024-01-24 12:30:00,1.38,1.38,1.38,1.38,154
ok,2024-01-24 14:30:00,1.38,1.38,1.38,1.38,252
ok,2024-01-24 15:00:00,1.38,1.38,1.38,1.38,4287
ok,2024-01-24 16:00:00,1.42,1.42,1.42,1.42,400
ok,2024-01-25 08:30:00,1.33,1.33,1.33,1.33,200
ok,2024-01-25 09:30:00,1.33,1.33,1.26,1.32,3392
ok,2024-01-25 13:00:00,1.31,1.31,1.31,1.31,697
ok,2024-01-25 13:30:00,1.31,1.31,1.31,1.31,200
ok,2024-01-25 14:30:00,1.32,1.32,1.32,1.32,110
ok,2024-01-25 15:00:00,1.32,1.32,1.32,1.32,100
ok,2024-01-25 15:30:00,1.31,1.31,1.31,1.31,120
ok,2024-01-26 09:30:00,1.34,1.36,1.34,1.36,2444
ok,2024-01-26 10:30:00,1.38,1.38,1.38,1.38,111
ok,2024-01-26 13:00:00,1.38,1.38,1.38,1.38,200
ok,2024-01-26 14:00:00,1.42,1.42,1.42,1.42,1130
ok,2024-01-26 14:30:00,1.42,1.42,1.42,1.42,100
ok,2024-01-29 09:30:00,1.4,1.4,1.4,1.4,336
ok,2024-01-29 10:30:00,1.38,1.39,1.38,1.39,332
ok,2024-01-29 15:00:00,1.34,1.34,1.34,1.34,468
ok,2024-01-30 09:30:00,1.33,1.33,1.33,1.33,172
ok,2024-01-30 10:00:00,1.37,1.39,1.37,1.39,361
ok,2024-01-30 12:30:00,1.47,1.47,1.47,1.47,250
ok,2024-01-30 13:00:00,1.45,1.45,1.45,1.45,250
ok,2024-01-30 14:00:00,1.42,1.42,1.42,1.42,105
ok,2024-01-30 15:30:00,1.4,1.4,1.39,1.4,643
ok,2024-01-30 16:30:00,1.44,1.44,1.44,1.44,300
ok,2024-01-31 09:30:00,1.52,1.52,1.52,1.52,720
ok,2024-01-31 11:00:00,1.48,1.48,1.48,1.48,257
ok,2024-01-31 11:30:00,1.45,1.45,1.45,1.45,257
ok,2024-01-31 12:00:00,1.45,1.45,1.45,1.45,656
ok,2024-01-31 12:30:00,1.44,1.44,1.44,1.44,600
ok,2024-01-31 15:00:00,1.45,1.45,1.44,1.44,340
ok,2024-01-31 15:30:00,1.45,1.45,1.45,1.45,207
ok,2024-02-01 09:30:00,1.34,1.4,1.34,1.39,1010
ok,2024-02-01 10:00:00,1.37,1.37,1.37,1.37,202
ok,2024-02-01 10:30:00,1.47,1.47,1.47,1.47,1271
ok,2024-02-01 11:30:00,1.39,1.4,1.39,1.4,399
ok,2024-02-01 12:30:00,1.41,1.41,1.41,1.41,1220
ok,2024-02-01 15:00:00,1.46,1.46,1.45,1.45,487
ok,2024-02-02 09:30:00,1.48,1.48,1.4,1.4,352
ok,2024-02-02 10:00:00,1.38,1.38,1.38,1.38,300
ok,2024-02-02 13:00:00,1.48,1.48,1.48,1.48,502
ok,2024-02-02 15:30:00,1.47,1.48,1.42,1.46,700
ok,2024-02-05 10:00:00,1.51,1.51,1.51,1.51,734
ok,2024-02-05 10:30:00,1.5,1.5,1.49,1.49,252
ok,2024-02-05 11:00:00,1.49,1.49,1.49,1.49,167
ok,2024-02-05 11:30:00,1.48,1.48,1.48,1.48,1626
ok,2024-02-05 15:00:00,1.47,1.48,1.47,1.48,1000
ok,2024-02-05 15:30:00,1.44,1.44,1.44,1.44,228
ok,2024-02-06 09:30:00,1.5,1.5,1.5,1.5,240
ok,2024-02-06 10:00:00,1.43,1.47,1.43,1.47,2202
ok,2024-02-06 11:00:00,1.48,1.48,1.42,1.42,546
ok,2024-02-06 11:30:00,1.42,1.42,1.42,1.42,200
ok,2024-02-06 12:30:00,1.46,1.46,1.46,1.46,300
ok,2024-02-07 09:30:00,1.42,1.42,1.42,1.42,1956
ok,2024-02-07 11:00:00,1.43,1.43,1.43,1.43,519
ok,2024-02-07 13:00:00,1.43,1.45,1.43,1.45,952
ok,2024-02-07 14:00:00,1.46,1.46,1.46,1.46,345
ok,2024-02-07 14:30:00,1.45,1.45,1.45,1.45,415
ok,2024-02-07 15:00:00,1.43,1.43,1.43,1.43,500
ok,2024-02-07 15:30:00,1.45,1.45,1.4,1.42,756
ok,2024-02-07 19:00:00,1.36,1.36,1.36,1.36,100
ok,2024-02-08 09:30:00,1.41,1.48,1.41,1.48,826
ok,2024-02-08 12:00:00,1.45,1.45,1.45,1.45,200
ok,2024-02-08 14:00:00,1.44,1.44,1.44,1.44,138
ok,2024-02-08 14:30:00,1.47,1.47,1.47,1.47,107
ok,2024-02-08 15:00:00,1.44,1.44,1.4,1.4,987
ok,2024-02-09 09:30:00,1.45,1.55,1.45,1.48,3558
ok,2024-02-09 11:00:00,1.5,1.54,1.5,1.54,542
ok,2024-02-09 11:30:00,1.53,1.54,1.53,1.53,1374
ok,2024-02-09 12:00:00,1.46,1.52,1.46,1.52,2174
ok,2024-02-09 12:30:00,1.52,1.52,1.52,1.52,197
ok,2024-02-09 13:00:00,1.45,1.5,1.45,1.5,1838
ok,2024-02-09 14:00:00,1.5,1.5,1.4,1.41,2742
ok,2024-02-09 15:00:00,1.48,1.48,1.45,1.45,250
ok,2024-02-12 09:00:00,1.42,1.42,1.42,1.42,172
ok,2024-02-12 09:30:00,1.47,1.48,1.47,1.48,668
ok,2024-02-12 10:00:00,1.46,1.48,1.46,1.48,1110
ok,2024-02-12 13:00:00,1.47,1.47,1.47,1.47,200
ok,2024-02-12 14:00:00,1.44,1.44,1.44,1.44,158
ok,2024-02-12 15:00:00,1.46,1.47,1.46,1.47,1313
ok,2024-02-12 15:30:00,1.47,1.47,1.47,1.47,100
ok,2024-02-13 10:00:00,1.5,1.5,1.47,1.47,1062
ok,2024-02-13 10:30:00,1.47,1.47,1.38,1.38,1801
ok,2024-02-13 11:30:00,1.35,1.35,1.35,1.35,101
ok,2024-02-13 15:30:00,1.37,1.37,1.37,1.37,365
ok,2024-02-13 17:00:00,1.36,1.36,1.36,1.36,238
ok,2024-02-14 09:00:00,1.37,1.37,1.37,1.37,100
ok,2024-02-14 09:30:00,1.36,1.36,1.36,1.36,1270
ok,2024-02-14 10:30:00,1.43,1.43,1.43,1.43,475
ok,2024-02-14 11:30:00,1.44,1.44,1.43,1.43,965
ok,2024-02-14 12:00:00,1.47,1.47,1.47,1.47,343
ok,2024-02-14 12:30:00,1.43,1.43,1.43,1.43,176
ok,2024-02-14 13:00:00,1.42,1.42,1.42,1.42,400
ok,2024-02-14 14:00:00,1.42,1.42,1.42,1.42,320
ok,2024-02-14 15:00:00,1.4,1.4,1.4,1.4,100
ok,2024-02-14 15:30:00,1.4,1.4,1.4,1.4,179
ok,2024-02-15 10:30:00,1.39,1.39,1.38,1.38,719
ok,2024-02-15 12:00:00,1.43,1.43,1.36,1.36,350
ok,2024-02-15 13:30:00,1.44,1.44,1.44,1.44,200
ok,2024-02-16 10:00:00,1.44,1.44,1.44,1.44,106
ok,2024-02-16 11:00:00,1.47,1.47,1.47,1.47,140
ok,2024-02-16 11:30:00,1.4,1.4,1.4,1.4,200
ok,2024-02-16 15:00:00,1.45,1.45,1.45,1.45,1011
ok,2024-02-20 09:30:00,1.43,1.43,1.43,1.43,554
ok,2024-02-20 10:00:00,1.38,1.45,1.38,1.45,356
ok,2024-02-20 11:00:00,1.43,1.43,1.43,1.43,1000
ok,2024-02-21 09:30:00,1.38,1.43,1.38,1.43,233
ok,2024-02-21 10:00:00,1.39,1.4,1.39,1.4,382
ok,2024-02-21 11:30:00,1.44,1.44,1.44,1.44,1010
ok,2024-02-21 14:00:00,1.44,1.45,1.44,1.45,1256
ok,2024-02-21 15:30:00,1.44,1.44,1.44,1.44,105
ok,2024-02-22 09:30:00,1.4,1.47,1.4,1.47,628
ok,2024-02-22 10:00:00,1.46,1.46,1.45,1.45,1000
ok,2024-02-22 12:30:00,1.45,1.45,1.45,1.45,260
ok,2024-02-22 13:30:00,1.43,1.43,1.43,1.43,500
ok,2024-02-22 18:30:00,1.41,1.41,1.41,1.41,100
ok,2024-02-23 09:30:00,1.47,1.47,1.43,1.43,200
ok,2024-02-23 10:00:00,1.45,1.45,1.45,1.45,100
ok,2024-02-23 15:30:00,1.47,1.48,1.47,1.48,1000
ok,2024-02-26 09:30:00,1.48,1.48,1.48,1.48,127
ok,2024-02-26 10:00:00,1.43,1.43,1.43,1.43,196
ok,2024-02-26 10:30:00,1.45,1.45,1.43,1.43,839
ok,2024-02-26 11:00:00,1.43,1.43,1.43,1.43,109
ok,2024-02-26 12:00:00,1.44,1.44,1.44,1.44,1045
ok,2024-02-26 12:30:00,1.44,1.46,1.44,1.46,3308
ok,2024-02-26 15:00:00,1.43,1.43,1.43,1.43,138
ok,2024-02-27 09:00:00,1.4,1.41,1.38,1.38,882
ok,2024-02-27 09:30:00,1.4,1.4,1.4,1.4,1059
ok,2024-02-27 10:00:00,1.34,1.34,1.33,1.33,468
ok,2024-02-27 11:00:00,1.39,1.39,1.39,1.39,150
ok,2024-02-27 11:30:00,1.35,1.35,1.35,1.35,100
ok,2024-02-27 12:00:00,1.35,1.38,1.35,1.38,400
ok,2024-02-27 13:00:00,1.34,1.34,1.34,1.34,383
ok,2024-02-27 14:00:00,1.34,1.34,1.34,1.34,823
ok,2024-02-27 14:30:00,1.35,1.35,1.35,1.35,136
ok,2024-02-28 09:00:00,1.32,1.32,1.31,1.32,750
ok,2024-02-28 09:30:00,1.32,1.32,1.3,1.3,3040
ok,2024-02-28 10:30:00,1.3,1.31,1.3,1.3,603
ok,2024-02-28 11:00:00,1.3,1.3,1.3,1.3,341
ok,2024-02-28 11:30:00,1.3,1.3,1.3,1.3,3600
ok,2024-02-28 12:00:00,1.31,1.31,1.31,1.31,300
ok,2024-02-28 12:30:00,1.31,1.31,1.31,1.31,200
ok,2024-02-28 13:30:00,1.31,1.31,1.31,1.31,115
ok,2024-02-28 15:00:00,1.3,1.3,1.3,1.3,100
ok,2024-02-28 15:30:00,1.31,1.31,1.31,1.31,569
ok,2024-02-29 09:30:00,1.31,1.32,1.31,1.31,2931
ok,2024-02-29 11:00:00,1.31,1.31,1.31,1.31,1016
ok,2024-02-29 11:30:00,1.3,1.3,1.25,1.25,14752
ok,2024-02-29 12:30:00,1.31,1.31,1.31,1.31,1551
ok,2024-02-29 13:00:00,1.27,1.27,1.27,1.27,100
ok,2024-02-29 14:00:00,1.3,1.31,1.3,1.31,1141
ok,2024-02-29 15:30:00,1.27,1.29,1.25,1.29,669
ok,2024-02-29 16:00:00,1.29,1.29,1.29,1.29,223
ok,2024-02-29 17:30:00,1.29,1.29,1.29,1.29,100
ok,2024-03-01 08:30:00,1.29,1.29,1.29,1.29,100
ok,2024-03-01 09:30:00,1.28,1.3,1.28,1.3,676
ok,2024-03-01 10:00:00,1.33,1.33,1.33,1.33,100
ok,2024-03-01 10:30:00,1.34,1.34,1.33,1.33,1327
ok,2024-03-01 11:00:00,1.34,1.34,1.34,1.34,194
ok,2024-03-01 11:30:00,1.35,1.35,1.35,1.35,267
ok,2024-03-01 13:00:00,1.36,1.42,1.35,1.37,5049
ok,2024-03-01 13:30:00,1.38,1.38,1.38,1.38,100
ok,2024-03-04 09:30:00,1.44,1.46,1.44,1.44,852
ok,2024-03-04 12:30:00,1.42,1.42,1.42,1.42,101
ok,2024-03-04 13:00:00,1.4,1.4,1.4,1.4,254
ok,2024-03-04 14:00:00,1.42,1.45,1.42,1.45,2275
ok,2024-03-04 15:30:00,1.43,1.43,1.43,1.43,163
ok,2024-03-05 09:30:00,1.49,1.49,1.49,1.49,777
ok,2024-03-05 10:00:00,1.43,1.43,1.37,1.37,300
ok,2024-03-05 10:30:00,1.4,1.4,1.4,1.4,618
ok,2024-03-05 11:00:00,1.38,1.38,1.37,1.37,450
ok,2024-03-05 11:30:00,1.38,1.38,1.38,1.38,132
ok,2024-03-05 12:30:00,1.38,1.38,1.38,1.38,100
ok,2024-03-05 13:30:00,1.44,1.44,1.44,1.44,350
ok,2024-03-05 15:00:00,1.36,1.36,1.36,1.36,1000
ok,2024-03-05 15:30:00,1.38,1.38,1.35,1.35,624
ok,2024-03-06 09:30:00,1.33,1.38,1.33,1.34,898
ok,2024-03-06 10:00:00,1.31,1.34,1.31,1.33,1187
ok,2024-03-06 14:00:00,1.34,1.34,1.34,1.34,541
ok,2024-03-06 14:30:00,1.4,1.44,1.32,1.32,591
ok,2024-03-06 15:00:00,1.37,1.37,1.37,1.37,194
ok,2024-03-06 15:30:00,1.38,1.38,1.31,1.32,5223
ok,2024-03-07 09:30:00,1.31,1.35,1.31,1.34,3010
ok,2024-03-07 10:00:00,1.34,1.34,1.34,1.34,126
ok,2024-03-07 11:00:00,1.35,1.37,1.34,1.34,468
ok,2024-03-07 11:30:00,1.32,1.32,1.32,1.32,270
ok,2024-03-07 12:30:00,1.31,1.31,1.31,1.31,151
ok,2024-03-07 14:30:00,1.31,1.33,1.31,1.33,259
ok,2024-03-07 15:00:00,1.34,1.34,1.34,1.34,450
ok,2024-03-07 15:30:00,1.33,1.33,1.31,1.31,858
ok,2024-03-08 09:30:00,1.37,1.37,1.37,1.37,188
ok,2024-03-08 10:00:00,1.36,1.36,1.34,1.34,503
ok,2024-03-08 12:30:00,1.32,1.33,1.32,1.33,500
ok,2024-03-08 13:30:00,1.32,1.32,1.32,1.32,150
ok,2024-03-08 15:00:00,1.32,1.34,1.32,1.34,375
ok,2024-03-08 19:00:00,1.32,1.32,1.32,1.32,100
ok,2024-03-11 08:00:00,1.34,1.34,1.34,1.34,475
ok,2024-03-11 08:30:00,1.31,1.32,1.31,1.31,6076
ok,2024-03-11 09:30:00,1.31,1.32,1.31,1.32,719
ok,2024-03-11 10:00:00,1.32,1.32,1.31,1.31,949
ok,2024-03-11 10:30:00,1.31,1.32,1.31,1.32,500
ok,2024-03-11 11:00:00,1.31,1.38,1.31,1.35,3641
ok,2024-03-11 12:00:00,1.37,1.37,1.37,1.37,100
ok,2024-03-11 12:30:00,1.38,1.39,1.38,1.39,200
ok,2024-03-11 13:00:00,1.38,1.38,1.38,1.38,1900
ok,2024-03-11 14:00:00,1.34,1.39,1.34,1.36,1355
ok,2024-03-11 15:30:00,1.41,1.41,1.41,1.41,141
ok,2024-03-11 16:00:00,1.33,1.33,1.33,1.33,200
ok,2024-03-12 08:30:00,1.38,1.38,1.38,1.38,276
ok,2024-03-12 10:00:00,1.36,1.36,1.36,1.36,1000
ok,2024-03-12 11:00:00,1.36,1.36,1.36,1.36,100
ok,2024-03-13 09:00:00,1.38,1.38,1.34,1.34,609
ok,2024-03-13 09:30:00,1.34,1.34,1.34,1.34,377
ok,2024-03-13 10:00:00,1.34,1.34,1.31,1.31,879
ok,2024-03-13 10:30:00,1.32,1.32,1.32,1.32,650
ok,2024-03-13 12:30:00,1.3,1.31,1.3,1.31,480
ok,2024-03-13 13:00:00,1.3,1.3,1.3,1.3,1000
ok,2024-03-13 14:00:00,1.31,1.31,1.31,1.31,100
ok,2024-03-14 08:30:00,1.28,1.28,1.28,1.28,100
ok,2024-03-14 09:00:00,1.27,1.27,1.26,1.26,388
ok,2024-03-14 10:00:00,1.29,1.3,1.26,1.26,1487
ok,2024-03-14 10:30:00,1.26,1.27,1.26,1.27,1133
ok,2024-03-14 11:00:00,1.27,1.27,1.26,1.26,1698
ok,2024-03-14 11:30:00,1.25,1.25,1.19,1.19,5733
ok,2024-03-14 12:00:00,1.2,1.2,1.2,1.2,100
ok,2024-03-14 12:30:00,1.19,1.23,1.19,1.23,1094
ok,2024-03-14 13:30:00,1.21,1.21,1.2,1.2,258
ok,2024-03-14 14:00:00,1.21,1.21,1.18,1.18,416
ok,2024-03-14 14:30:00,1.18,1.19,1.18,1.19,576
ok,2024-03-15 07:30:00,1.28,1.28,1.28,1.28,100
ok,2024-03-15 08:30:00,1.23,1.23,1.23,1.23,811
ok,2024-03-15 09:00:00,1.27,1.27,1.27,1.27,200
ok,2024-03-15 10:00:00,1.27,1.27,1.25,1.25,410
ok,2024-03-15 10:30:00,1.24,1.24,1.24,1.24,100
ok,2024-03-15 13:30:00,1.25,1.25,1.25,1.25,200
ok,2024-03-18 08:30:00,1.24,1.29,1.24,1.24,425
ok,2024-03-18 09:30:00,1.2,1.2,1.18,1.19,6489
ok,2024-03-18 10:00:00,1.18,1.18,1.18,1.18,300
ok,2024-03-18 10:30:00,1.18,1.18,1.18,1.18,2180
ok,2024-03-18 11:00:00,1.18,1.18,1.18,1.18,190
ok,2024-03-18 11:30:00,1.19,1.2,1.18,1.2,1087
ok,2024-03-18 12:00:00,1.2,1.2,1.2,1.2,1367
ok,2024-03-18 12:30:00,1.18,1.18,1.18,1.18,250
ok,2024-03-18 13:00:00,1.19,1.19,1.18,1.18,600
ok,2024-03-18 13:30:00,1.18,1.18,1.18,1.18,350
ok,2024-03-18 14:00:00,1.2,1.2,1.2,1.2,303
ok,2024-03-19 09:00:00,1.16,1.16,1.16,1.16,377
ok,2024-03-19 10:00:00,1.16,1.16,1.16,1.16,200
ok,2024-03-19 10:30:00,1.18,1.18,1.18,1.18,100
